date,ticker,suspension_status
2003-01-30,004190,거래정지
2003-01-30,005770,거래정지
2003-01-30,006610,거래정지
2003-01-30,010050,거래정지
2003-01-30,019930,거래정지
2003-01-30,032600,거래정지
2003-01-30,036180,거래정지
2003-01-30,036920,거래정지
2003-02-28,028300,거래정지
2003-02-28,011320,거래정지
2003-02-28,012170,거래정지
2003-02-28,000110,거래정지
2003-02-28,002050,거래정지
2003-02-28,002610,거래정지
2003-02-28,004190,거래정지
2003-02-28,005770,거래정지
2003-02-28,006070,거래정지
2003-02-28,006610,거래정지
2003-02-28,012650,거래정지
2003-02-28,017300,거래정지
2003-02-28,019930,거래정지
2003-02-28,027700,거래정지
2003-02-28,032600,거래정지
2003-02-28,036920,거래정지
2003-02-28,037750,거래정지
2003-03-31,000660,거래정지
2003-03-31,010120,거래정지
2003-03-31,001740,거래정지
2003-03-31,000110,거래정지
2003-03-31,002050,거래정지
2003-03-31,003900,거래정지
2003-03-31,004190,거래정지
2003-03-31,005560,거래정지
2003-03-31,005770,거래정지
2003-03-31,006070,거래정지
2003-03-31,006610,거래정지
2003-03-31,009380,거래정지
2003-03-31,009840,거래정지
2003-03-31,010330,거래정지
2003-03-31,019930,거래정지
2003-03-31,020860,거래정지
2003-03-31,027700,거래정지
2003-03-31,032600,거래정지
2003-03-31,032780,거래정지
2003-03-31,034970,거래정지
2003-03-31,040750,거래정지
2003-03-31,053960,거래정지
2003-04-30,009270,거래정지
2003-04-30,002390,거래정지
2003-04-30,002140,거래정지
2003-04-30,036120,거래정지
2003-04-30,019660,거래정지
2003-04-30,004870,거래정지
2003-04-30,035620,거래정지
2003-04-30,032800,거래정지
2003-04-30,000110,거래정지
2003-04-30,003900,거래정지
2003-04-30,004190,거래정지
2003-04-30,004660,거래정지
2003-04-30,006070,거래정지
2003-04-30,011800,거래정지
2003-04-30,011840,거래정지
2003-04-30,019930,거래정지
2003-04-30,025830,거래정지
2003-04-30,032600,거래정지
2003-05-30,003720,거래정지
2003-05-30,000040,거래정지
2003-05-30,000110,거래정지
2003-05-30,003900,거래정지
2003-05-30,004190,거래정지
2003-05-30,006070,거래정지
2003-05-30,019930,거래정지
2003-05-30,032600,거래정지
2003-06-30,004370,거래정지
2003-06-30,001570,거래정지
2003-06-30,002630,거래정지
2003-06-30,000110,거래정지
2003-06-30,003900,거래정지
2003-06-30,004190,거래정지
2003-06-30,008270,거래정지
2003-06-30,015540,거래정지
2003-06-30,018020,거래정지
2003-06-30,019930,거래정지
2003-06-30,032600,거래정지
2003-06-30,046930,거래정지
2003-07-31,001740,거래정지
2003-07-31,001570,거래정지
2003-07-31,015860,거래정지
2003-07-31,001290,거래정지
2003-07-31,000110,거래정지
2003-07-31,002670,거래정지
2003-07-31,003900,거래정지
2003-07-31,004190,거래정지
2003-07-31,006210,거래정지
2003-07-31,008080,거래정지
2003-07-31,010510,거래정지
2003-07-31,019930,거래정지
2003-07-31,032600,거래정지
2003-07-31,054530,거래정지
2003-08-29,001740,거래정지
2003-08-29,001390,거래정지
2003-08-29,011760,거래정지
2003-08-29,000040,거래정지
2003-08-29,005110,거래정지
2003-08-29,000110,거래정지
2003-08-29,001150,거래정지
2003-08-29,001980,거래정지
2003-08-29,003190,거래정지
2003-08-29,003590,거래정지
2003-08-29,003900,거래정지
2003-08-29,003980,거래정지
2003-08-29,004190,거래정지
2003-08-29,008320,거래정지
2003-08-29,008400,거래정지
2003-08-29,009790,거래정지
2003-08-29,012420,거래정지
2003-08-29,012720,거래정지
2003-08-29,014200,거래정지
2003-08-29,019930,거래정지
2003-08-29,032600,거래정지
2003-09-30,028300,거래정지
2003-09-30,001740,거래정지
2003-09-30,000540,거래정지
2003-09-30,000110,거래정지
2003-09-30,003590,거래정지
2003-09-30,003900,거래정지
2003-09-30,004190,거래정지
2003-09-30,012270,거래정지
2003-09-30,019930,거래정지
2003-09-30,031150,거래정지
2003-09-30,032150,거래정지
2003-09-30,032600,거래정지
2003-10-31,035250,거래정지
2003-10-31,001740,거래정지
2003-10-31,042940,거래정지
2003-10-31,001380,거래정지
2003-10-31,000110,거래정지
2003-10-31,003590,거래정지
2003-10-31,003900,거래정지
2003-10-31,004190,거래정지
2003-10-31,004230,거래정지
2003-10-31,006070,거래정지
2003-10-31,010510,거래정지
2003-10-31,016160,거래정지
2003-10-31,018020,거래정지
2003-10-31,019930,거래정지
2003-10-31,025340,거래정지
2003-10-31,025690,거래정지
2003-10-31,036180,거래정지
2003-10-31,036610,거래정지
2003-11-28,001250,거래정지
2003-11-28,015020,거래정지
2003-11-28,000110,거래정지
2003-11-28,003590,거래정지
2003-11-28,003900,거래정지
2003-11-28,004190,거래정지
2003-11-28,015670,거래정지
2003-11-28,016160,거래정지
2003-11-28,019930,거래정지
2003-11-28,027440,거래정지
2003-12-30,000720,거래정지
2003-12-30,005160,거래정지
2003-12-30,000110,거래정지
2003-12-30,001980,거래정지
2003-12-30,003590,거래정지
2003-12-30,003900,거래정지
2003-12-30,004190,거래정지
2003-12-30,004230,거래정지
2003-12-30,017170,거래정지
2003-12-30,018590,거래정지
2003-12-30,019930,거래정지
2003-12-30,035960,거래정지
2003-12-30,037020,거래정지
2004-01-30,000110,거래정지
2004-01-30,001580,거래정지
2004-01-30,001980,거래정지
2004-01-30,003900,거래정지
2004-01-30,004190,거래정지
2004-01-30,008000,거래정지
2004-01-30,019930,거래정지
2004-01-30,038400,거래정지
2004-01-30,046000,거래정지
2004-01-30,053200,거래정지
2004-01-30,054530,거래정지
2004-02-27,019210,거래정지
2004-02-27,003520,거래정지
2004-02-27,003070,거래정지
2004-02-27,008350,거래정지
2004-02-27,017550,거래정지
2004-02-27,036630,거래정지
2004-02-27,040350,거래정지
2004-02-27,004410,거래정지
2004-02-27,032580,거래정지
2004-02-27,051380,거래정지
2004-02-27,000110,거래정지
2004-02-27,001980,거래정지
2004-02-27,002850,거래정지
2004-02-27,003900,거래정지
2004-02-27,004190,거래정지
2004-02-27,004660,거래정지
2004-02-27,005760,거래정지
2004-02-27,009380,거래정지
2004-02-27,018890,거래정지
2004-02-27,023460,거래정지
2004-02-27,031390,거래정지
2004-02-27,036880,거래정지
2004-02-27,038400,거래정지
2004-02-27,042870,거래정지
2004-02-27,044770,거래정지
2004-02-27,046000,거래정지
2004-02-27,048130,거래정지
2004-02-27,053200,거래정지
2004-02-27,054530,거래정지
2004-03-31,000370,거래정지
2004-03-31,013890,거래정지
2004-03-31,001020,거래정지
2004-03-31,011810,거래정지
2004-03-31,002880,거래정지
2004-03-31,030350,거래정지
2004-03-31,000010,거래정지
2004-03-31,000110,거래정지
2004-03-31,001980,거래정지
2004-03-31,002850,거래정지
2004-03-31,002930,거래정지
2004-03-31,003020,거래정지
2004-03-31,003930,거래정지
2004-03-31,006150,거래정지
2004-03-31,006750,거래정지
2004-03-31,009940,거래정지
2004-03-31,010420,거래정지
2004-03-31,018180,거래정지
2004-03-31,018890,거래정지
2004-03-31,019260,거래정지
2004-03-31,026260,거래정지
2004-03-31,027440,거래정지
2004-03-31,031800,거래정지
2004-03-31,032050,거래정지
2004-03-31,033190,거래정지
2004-03-31,033720,거래정지
2004-03-31,033850,거래정지
2004-03-31,034510,거래정지
2004-03-31,035450,거래정지
2004-03-31,035500,거래정지
2004-03-31,036020,거래정지
2004-03-31,036360,거래정지
2004-03-31,036760,거래정지
2004-03-31,036790,거래정지
2004-03-31,037250,거래정지
2004-03-31,037730,거래정지
2004-03-31,037750,거래정지
2004-03-31,037830,거래정지
2004-03-31,038050,거래정지
2004-03-31,038100,거래정지
2004-03-31,038980,거래정지
2004-03-31,039000,거래정지
2004-03-31,041140,거래정지
2004-03-31,042870,거래정지
2004-03-31,046000,거래정지
2004-03-31,053590,거래정지
2004-04-30,035900,거래정지
2004-04-30,005420,거래정지
2004-04-30,045100,거래정지
2004-04-30,013890,거래정지
2004-04-30,000860,거래정지
2004-04-30,011810,거래정지
2004-04-30,001260,거래정지
2004-04-30,007720,거래정지
2004-04-30,005110,거래정지
2004-04-30,032980,거래정지
2004-04-30,026910,거래정지
2004-04-30,000110,거래정지
2004-04-30,001980,거래정지
2004-04-30,002950,거래정지
2004-04-30,003020,거래정지
2004-04-30,003930,거래정지
2004-04-30,005330,거래정지
2004-04-30,010420,거래정지
2004-04-30,018180,거래정지
2004-04-30,018890,거래정지
2004-04-30,032050,거래정지
2004-04-30,033280,거래정지
2004-04-30,034510,거래정지
2004-04-30,035400,거래정지
2004-04-30,036020,거래정지
2004-04-30,037320,거래정지
2004-04-30,037830,거래정지
2004-04-30,041140,거래정지
2004-04-30,046000,거래정지
2004-04-30,047600,거래정지
2004-04-30,056020,거래정지
2004-05-31,013890,거래정지
2004-05-31,054780,거래정지
2004-05-31,000110,거래정지
2004-05-31,003040,거래정지
2004-05-31,003930,거래정지
2004-05-31,008080,거래정지
