test,date,bucket,rank_ic_12m,mean_next_12m,n
attention_vs_momentum_ic,2006-03-31,1,0.26363636363636367,0.24347497290210776,11
attention_vs_momentum_ic,2006-03-31,2,-0.3696969696969697,0.18694280161701132,10
attention_vs_momentum_ic,2006-03-31,3,0.08181818181818183,0.19163393118083033,11
attention_vs_momentum_ic,2006-06-30,1,0.4725274725274725,0.910360344148534,13
attention_vs_momentum_ic,2006-06-30,2,0.6293706293706295,0.520605474787831,12
attention_vs_momentum_ic,2006-06-30,3,-0.5874125874125874,0.4785908746068191,12
attention_vs_momentum_ic,2006-07-31,1,0.3846153846153847,0.9393849464916455,12
attention_vs_momentum_ic,2006-07-31,2,0.4895104895104896,0.8914214269201173,12
attention_vs_momentum_ic,2006-07-31,3,-0.2657342657342658,0.4122922026321885,12
attention_vs_momentum_ic,2006-08-31,1,0.2447552447552448,0.8959141303316008,12
attention_vs_momentum_ic,2006-08-31,2,0.5090909090909091,0.8462145148462459,11
attention_vs_momentum_ic,2006-08-31,3,-0.25874125874125875,0.4548844013939477,12
attention_vs_momentum_ic,2006-10-31,1,0.3186813186813187,1.4165456357805426,13
attention_vs_momentum_ic,2006-10-31,2,0.4265734265734266,0.6628651846758253,12
attention_vs_momentum_ic,2006-10-31,3,0.006993006993006993,0.5961679969377874,12
attention_vs_momentum_ic,2006-11-30,1,0.4340659340659341,1.1390388612278401,13
attention_vs_momentum_ic,2006-11-30,2,0.5244755244755246,0.36897621349510884,12
attention_vs_momentum_ic,2006-11-30,3,0.07692307692307693,0.3565031016647879,12
attention_vs_momentum_ic,2007-01-31,1,0.3272727272727273,0.5766238500176597,11
attention_vs_momentum_ic,2007-01-31,2,0.5545454545454546,0.4840441372675629,11
attention_vs_momentum_ic,2007-01-31,3,0.4000000000000001,0.24157169421749564,11
attention_vs_momentum_ic,2007-02-28,1,0.7545454545454545,0.8062793611738229,11
attention_vs_momentum_ic,2007-02-28,2,0.8060606060606059,0.3092782122427014,10
attention_vs_momentum_ic,2007-02-28,3,-0.49090909090909085,0.21178544341343847,10
attention_vs_momentum_ic,2007-04-30,1,0.2967032967032967,0.49262808047337625,13
attention_vs_momentum_ic,2007-04-30,2,-0.07692307692307693,0.2642114727438859,12
attention_vs_momentum_ic,2007-04-30,3,0.0,0.3018173475381279,13
attention_vs_momentum_ic,2007-05-31,1,0.2937062937062937,0.2638167511952747,12
attention_vs_momentum_ic,2007-05-31,2,-0.2657342657342658,0.1276985083715658,12
attention_vs_momentum_ic,2007-05-31,3,0.0979020979020979,0.10570717198049484,12
attention_vs_momentum_ic,2007-07-31,1,0.2867132867132868,-0.1432554997660803,12
attention_vs_momentum_ic,2007-07-31,2,-0.3181818181818182,-0.12019231645810692,11
attention_vs_momentum_ic,2007-07-31,3,-0.2797202797202798,-0.1143381590996095,12
attention_vs_momentum_ic,2007-08-31,1,-0.09090909090909093,-0.1497452188751807,12
attention_vs_momentum_ic,2007-08-31,2,-0.3216783216783217,-0.24815720407396746,12
attention_vs_momentum_ic,2007-08-31,3,-0.17482517482517487,-0.12500741181083894,12
attention_vs_momentum_ic,2007-10-31,1,-0.6727272727272727,-0.4911428092023934,11
attention_vs_momentum_ic,2007-10-31,2,-0.23636363636363636,-0.39036074609269755,11
attention_vs_momentum_ic,2007-10-31,3,-0.3272727272727273,-0.40800718527405794,11
attention_vs_momentum_ic,2007-11-30,1,-0.25874125874125875,-0.46327426032277,12
attention_vs_momentum_ic,2007-11-30,2,-0.09090909090909091,-0.3604610847338462,11
attention_vs_momentum_ic,2007-11-30,3,0.6181818181818182,-0.3703282388017643,11
attention_vs_momentum_ic,2008-01-31,1,0.12637362637362637,-0.32517473344917913,13
attention_vs_momentum_ic,2008-01-31,2,0.034965034965034975,-0.1114264722367312,12
attention_vs_momentum_ic,2008-01-31,3,0.3681318681318681,0.024864600488346975,13
attention_vs_momentum_ic,2008-02-29,1,-0.15384615384615385,-0.4436489307690106,12
attention_vs_momentum_ic,2008-02-29,2,0.6013986013986015,-0.2742512561795046,12
attention_vs_momentum_ic,2008-02-29,3,0.013986013986013986,0.025742662742133365,12
attention_vs_momentum_ic,2008-03-31,1,-0.2797202797202798,-0.3283852799811383,12
attention_vs_momentum_ic,2008-03-31,2,0.006993006993006993,-0.16922437869230553,12
