date,ticker
2014-01-29,035290
2014-01-29,053320
2014-01-29,104120
2014-01-29,064090
2014-01-29,138610
2014-01-29,043580
2014-01-29,083660
2014-01-29,054410
2014-01-29,080440
2014-01-29,134060
2014-01-29,007630
2014-01-29,184230
2014-01-29,182360
2014-01-29,009810
2014-01-29,058370
2014-01-29,019660
2014-01-29,032800
2014-01-29,060260
2014-01-29,063440
2014-01-29,091440
2014-01-29,031860
2014-01-29,024940
2014-01-29,066110
2014-01-29,005110
2014-01-29,049120
2014-01-29,900100
2014-01-29,069920
2014-01-29,025870
2014-02-28,004790
2014-02-28,053870
2014-02-28,078940
2014-02-28,043220
2014-02-28,044180
2014-02-28,019570
2014-02-28,060240
2014-02-28,023770
2014-02-28,054300
2014-02-28,066430
2014-02-28,025620
2014-02-28,064090
2014-02-28,046310
2014-02-28,074610
2014-02-28,111610
2014-02-28,039850
2014-02-28,056340
2014-02-28,101140
2014-02-28,001140
2014-02-28,080440
2014-02-28,038340
2014-02-28,109070
2014-02-28,083660
2014-02-28,045340
2014-02-28,054410
2014-02-28,063440
2014-02-28,025870
2014-02-28,043580
2014-02-28,121890
2014-02-28,078590
2014-02-28,066110
2014-02-28,138610
2014-02-28,007530
2014-02-28,053330
2014-02-28,007630
2014-02-28,026260
2014-02-28,091440
2014-02-28,104120
2014-02-28,060260
2014-02-28,119830
2014-02-28,009810
2014-02-28,184230
2014-02-28,182360
2014-02-28,043710
2014-02-28,032420
2014-02-28,056000
2014-02-28,031860
2014-02-28,096040
2014-02-28,032800
2014-02-28,078780
2014-03-31,053870
2014-03-31,025620
2014-03-31,078940
2014-03-31,056340
2014-03-31,019570
2014-03-31,044180
2014-03-31,043220
2014-03-31,032420
2014-03-31,043710
2014-03-31,074610
2014-03-31,060240
2014-03-31,054300
2014-03-31,066430
2014-03-31,035290
2014-03-31,109070
2014-03-31,038340
2014-03-31,007630
2014-03-31,064090
2014-03-31,030270
2014-03-31,101140
2014-03-31,080440
2014-03-31,045340
2014-03-31,096040
2014-03-31,011330
2014-03-31,066110
2014-03-31,008900
2014-03-31,063440
2014-03-31,025870
2014-03-31,121890
2014-03-31,009810
2014-03-31,119830
2014-03-31,134060
2014-03-31,027970
2014-03-31,060260
2014-03-31,083660
2014-03-31,184230
2014-03-31,029480
2014-03-31,111610
2014-03-31,040670
2014-03-31,104120
2014-03-31,026910
2014-03-31,182360
2014-03-31,058370
2014-03-31,054410
2014-03-31,004920
2014-03-31,032800
2014-03-31,096870
2014-03-31,024850
2014-03-31,091440
2014-03-31,069920
2014-04-30,041060
2014-04-30,950010
2014-04-30,056340
2014-04-30,053870
2014-04-30,078940
2014-04-30,025620
2014-04-30,066430
2014-04-30,019570
2014-04-30,074610
2014-04-30,043220
2014-04-30,008900
2014-04-30,044180
2014-04-30,060240
2014-04-30,054300
2014-04-30,109070
2014-04-30,101140
2014-04-30,109960
2014-04-30,030270
2014-04-30,900100
2014-04-30,038340
2014-04-30,065500
2014-04-30,046310
2014-04-30,080440
2014-04-30,096040
2014-04-30,027970
2014-04-30,040670
2014-04-30,045340
2014-04-30,025870
2014-04-30,049720
2014-04-30,066110
2014-04-30,063440
2014-04-30,029480
2014-04-30,024850
2014-04-30,109820
2014-04-30,035290
2014-04-30,099830
2014-04-30,060260
2014-04-30,007530
2014-04-30,184230
2014-04-30,004920
2014-04-30,053950
2014-04-30,083660
2014-04-30,182360
2014-04-30,032800
2014-04-30,069920
2014-04-30,039850
2014-04-30,007630
2014-04-30,045300
2014-04-30,064090
2014-04-30,056000
2014-05-30,950010
2014-05-30,023770
2014-05-30,078940
2014-05-30,025620
2014-05-30,044180
2014-05-30,019570
2014-05-30,060240
2014-05-30,051160
2014-05-30,066430
2014-05-30,080440
2014-05-30,109960
2014-05-30,074610
2014-05-30,101140
2014-05-30,109070
2014-05-30,046310
2014-05-30,011330
2014-05-30,065500
2014-05-30,054300
2014-05-30,008900
2014-05-30,001140
2014-05-30,053870
2014-05-30,043910
2014-05-30,096040
2014-05-30,187790
2014-05-30,045340
2014-05-30,066110
2014-05-30,134060
2014-05-30,029480
2014-05-30,025870
2014-05-30,099830
2014-05-30,064090
2014-05-30,024850
2014-05-30,094860
2014-05-30,121890
2014-05-30,900100
2014-05-30,040670
2014-05-30,043710
2014-05-30,074150
2014-05-30,069920
2014-05-30,007530
2014-05-30,009810
2014-05-30,083660
2014-05-30,042040
2014-05-30,138610
2014-05-30,063440
2014-05-30,010580
2014-05-30,184230
2014-05-30,060260
2014-05-30,001770
2014-05-30,141020
2014-06-30,950010
2014-06-30,032420
2014-06-30,044180
2014-06-30,025620
2014-06-30,060240
2014-06-30,065500
2014-06-30,101140
2014-06-30,051160
2014-06-30,019570
2014-06-30,066430
2014-06-30,046310
2014-06-30,053870
2014-06-30,078940
2014-06-30,074610
2014-06-30,011330
2014-06-30,099830
2014-06-30,021880
2014-06-30,064090
2014-06-30,900100
2014-06-30,045340
2014-06-30,001140
2014-06-30,080440
2014-06-30,109070
2014-06-30,187790
2014-06-30,054300
2014-06-30,043910
2014-06-30,066110
2014-06-30,008900
2014-06-30,040670
2014-06-30,060260
2014-06-30,134060
2014-06-30,024850
2014-06-30,094860
2014-06-30,074150
2014-06-30,025870
2014-06-30,026910
2014-06-30,138610
2014-06-30,001770
2014-06-30,056730
2014-06-30,010580
2014-06-30,069920
2014-06-30,038530
2014-06-30,184230
2014-06-30,035290
2014-06-30,096870
2014-06-30,044480
2014-06-30,056000
2014-06-30,045300
2014-06-30,009810
2014-06-30,039850
2014-07-31,060240
2014-07-31,053870
2014-07-31,086830
2014-07-31,099830
2014-07-31,019570
2014-07-31,074610
2014-07-31,046310
2014-07-31,011330
2014-07-31,054300
2014-07-31,073570
2014-07-31,025620
2014-07-31,080440
2014-07-31,008900
2014-07-31,065500
2014-07-31,051160
2014-07-31,101140
2014-07-31,066110
2014-07-31,030270
2014-07-31,050320
2014-07-31,187790
2014-07-31,029480
2014-07-31,040670
2014-07-31,078940
2014-07-31,064090
2014-07-31,045340
2014-07-31,134060
2014-07-31,024850
2014-07-31,001140
2014-07-31,900100
2014-07-31,043910
2014-07-31,109070
2014-07-31,028040
2014-07-31,056730
2014-07-31,060260
2014-07-31,094860
2014-07-31,025870
2014-07-31,096870
2014-07-31,043580
2014-07-31,049720
2014-07-31,069920
2014-07-31,042040
2014-07-31,182360
2014-07-31,184230
2014-07-31,044180
2014-07-31,038530
2014-07-31,010580
2014-07-31,091440
2014-07-31,053330
2014-07-31,044480
2014-07-31,083660
2014-08-29,110500
2014-08-29,013340
2014-08-29,950010
2014-08-29,111610
2014-08-29,046310
2014-08-29,050320
2014-08-29,019570
2014-08-29,074610
2014-08-29,080440
2014-08-29,030270
2014-08-29,051160
2014-08-29,054300
2014-08-29,073570
2014-08-29,008900
2014-08-29,064090
2014-08-29,187790
2014-08-29,025620
2014-08-29,029480
2014-08-29,053870
2014-08-29,078940
2014-08-29,086830
2014-08-29,109070
2014-08-29,043910
2014-08-29,060240
2014-08-29,101140
2014-08-29,028040
2014-08-29,001140
2014-08-29,056730
2014-08-29,066110
2014-08-29,043580
2014-08-29,900100
2014-08-29,038530
2014-08-29,078590
2014-08-29,096870
2014-08-29,053330
2014-08-29,198440
2014-08-29,066430
2014-08-29,049720
2014-08-29,184230
2014-08-29,044180
2014-08-29,024850
2014-08-29,101160
2014-08-29,182360
2014-08-29,009810
2014-08-29,054410
2014-08-29,002420
2014-08-29,010580
2014-08-29,119830
2014-08-29,078780
2014-08-29,044480
2014-09-30,111610
2014-09-30,046310
2014-09-30,086830
2014-09-30,066430
2014-09-30,080440
2014-09-30,053870
2014-09-30,078940
2014-09-30,101160
2014-09-30,053330
2014-09-30,019570
2014-09-30,064090
2014-09-30,074610
2014-09-30,109070
2014-09-30,073570
2014-09-30,025620
2014-09-30,900100
2014-09-30,043910
2014-09-30,028040
2014-09-30,066110
2014-09-30,101140
2014-09-30,054300
2014-09-30,029480
2014-09-30,024850
2014-09-30,043710
2014-09-30,002420
2014-09-30,040670
2014-09-30,045340
2014-09-30,043580
2014-09-30,184230
2014-09-30,198440
2014-09-30,134060
2014-09-30,078780
2014-09-30,044480
2014-09-30,004920
2014-09-30,010580
2014-09-30,049720
2014-09-30,060240
2014-09-30,042040
2014-09-30,182360
2014-09-30,058220
2014-09-30,078590
2014-09-30,091440
2014-09-30,060260
2014-09-30,045300
2014-09-30,001770
2014-09-30,104120
2014-09-30,067630
2014-09-30,044180
2014-09-30,096870
2014-09-30,014910
2014-10-31,053870
2014-10-31,046310
2014-10-31,109960
2014-10-31,025620
2014-10-31,078780
2014-10-31,066430
2014-10-31,028040
2014-10-31,019570
2014-10-31,101160
2014-10-31,078940
2014-10-31,080440
2014-10-31,064090
2014-10-31,042940
2014-10-31,004320
2014-10-31,000360
2014-10-31,203650
2014-10-31,187790
2014-10-31,029480
2014-10-31,101140
2014-10-31,109070
2014-10-31,043710
2014-10-31,204440
2014-10-31,001140
2014-10-31,900100
2014-10-31,039670
2014-10-31,096870
2014-10-31,074610
2014-10-31,054300
2014-10-31,073570
2014-10-31,008900
2014-10-31,043580
2014-10-31,046120
2014-10-31,011230
2014-10-31,024850
2014-10-31,066110
2014-10-31,101400
2014-10-31,060240
2014-10-31,184230
2014-10-31,010580
2014-10-31,198440
2014-10-31,040670
2014-10-31,134060
2014-10-31,045340
2014-10-31,091440
2014-10-31,033250
2014-10-31,044180
2014-10-31,058220
2014-10-31,121890
2014-10-31,053060
2014-10-31,001770
2014-11-28,053330
2014-11-28,025620
2014-11-28,053870
2014-11-28,078940
2014-11-28,204840
