test,date,bucket,mean_return,n
price_level_vs_future_1m,2002-01-31 00:00:00,4,0.03768822616451386,274
price_level_vs_future_1m,2002-01-31 00:00:00,5,-0.047582273507658465,274
price_level_vs_future_1m,2002-02-28 00:00:00,1,0.09951223910779727,278
price_level_vs_future_1m,2002-02-28 00:00:00,2,0.1514978000752679,278
price_level_vs_future_1m,2002-02-28 00:00:00,3,0.16507404593639471,278
price_level_vs_future_1m,2002-02-28 00:00:00,4,0.132634356788103,278
price_level_vs_future_1m,2002-02-28 00:00:00,5,0.16094651304471627,278
price_level_vs_future_1m,2002-03-29 00:00:00,1,-0.06320490612547412,275
price_level_vs_future_1m,2002-03-29 00:00:00,2,-0.16318937022902238,275
price_level_vs_future_1m,2002-03-29 00:00:00,3,-0.16655667996606713,275
price_level_vs_future_1m,2002-03-29 00:00:00,4,-0.17595084873751798,275
price_level_vs_future_1m,2002-03-29 00:00:00,5,-0.19502006606302924,275
price_level_vs_future_1m,2002-04-30 00:00:00,1,-0.023157597764561534,276
price_level_vs_future_1m,2002-04-30 00:00:00,2,-0.04023789986098945,276
price_level_vs_future_1m,2002-04-30 00:00:00,3,-0.020315029356316554,275
price_level_vs_future_1m,2002-04-30 00:00:00,4,-0.05527073897537674,276
price_level_vs_future_1m,2002-04-30 00:00:00,5,-0.050685311199484516,276
price_level_vs_future_1m,2002-05-31 00:00:00,1,-0.08140758954264439,280
price_level_vs_future_1m,2002-05-31 00:00:00,2,-0.12583444395642737,279
price_level_vs_future_1m,2002-05-31 00:00:00,3,-0.1273053633813536,279
price_level_vs_future_1m,2002-05-31 00:00:00,4,-0.13419692500557315,279
price_level_vs_future_1m,2002-05-31 00:00:00,5,-0.1587338569919786,280
price_level_vs_future_1m,2002-06-28 00:00:00,1,0.014844579234760194,282
price_level_vs_future_1m,2002-06-28 00:00:00,2,-0.005004269717936384,281
price_level_vs_future_1m,2002-06-28 00:00:00,3,-0.01765310395733862,281
price_level_vs_future_1m,2002-06-28 00:00:00,4,-0.0021089671773166017,281
price_level_vs_future_1m,2002-06-28 00:00:00,5,-0.009786726383641958,281
price_level_vs_future_1m,2002-07-31 00:00:00,1,0.042082830422154056,287
price_level_vs_future_1m,2002-07-31 00:00:00,2,0.021489589945229443,282
price_level_vs_future_1m,2002-07-31 00:00:00,3,0.030557680372134608,284
price_level_vs_future_1m,2002-07-31 00:00:00,4,0.025513931418685583,284
price_level_vs_future_1m,2002-07-31 00:00:00,5,0.002829564147621706,285
price_level_vs_future_1m,2002-08-30 00:00:00,1,-0.14243026531234548,287
price_level_vs_future_1m,2002-08-30 00:00:00,2,-0.1799850676627422,287
price_level_vs_future_1m,2002-08-30 00:00:00,3,-0.16942649979463284,287
price_level_vs_future_1m,2002-08-30 00:00:00,4,-0.1646448035084365,287
price_level_vs_future_1m,2002-08-30 00:00:00,5,-0.22964893782009818,287
price_level_vs_future_1m,2002-09-30 00:00:00,1,0.06133435286315528,290
price_level_vs_future_1m,2002-09-30 00:00:00,2,0.06998545746177454,285
price_level_vs_future_1m,2002-09-30 00:00:00,3,0.03896283573819635,287
price_level_vs_future_1m,2002-09-30 00:00:00,4,0.05271032147836506,287
price_level_vs_future_1m,2002-09-30 00:00:00,5,0.04540902563681729,287
price_level_vs_future_1m,2002-10-31 00:00:00,1,0.016610093875736212,287
price_level_vs_future_1m,2002-10-31 00:00:00,2,0.03233556327004481,287
price_level_vs_future_1m,2002-10-31 00:00:00,3,0.033923033331830325,286
price_level_vs_future_1m,2002-10-31 00:00:00,4,0.05698835306161161,287
price_level_vs_future_1m,2002-10-31 00:00:00,5,0.007605834704152114,287
price_level_vs_future_1m,2002-11-29 00:00:00,1,0.0004909845157773286,289
price_level_vs_future_1m,2002-11-29 00:00:00,2,-0.12379101502617341,289
price_level_vs_future_1m,2002-11-29 00:00:00,3,-0.11998364535559768,289
price_level_vs_future_1m,2002-11-29 00:00:00,4,-0.13514350148092452,289
price_level_vs_future_1m,2002-11-29 00:00:00,5,-0.15097783937064077,289
price_level_vs_future_1m,2002-12-30 00:00:00,1,-0.030944041017072377,292
