signal,universe_pct,holdings,aum_krw,cost_multiplier,participation,months,net_cagr,mdd,t_stat,p_value,mean_fill,robust
reversal_1m,0.2,50,100000000.0,0.5,0.1,310,-0.13445894292266447,-0.9821919379522329,-0.9304667349510054,0.3521294797403949,1.0,False
reversal_1m,0.2,50,100000000.0,1.0,0.1,310,-0.1349785823254036,-0.9824404279534741,-0.9381698761458822,0.348157116555627,1.0,False
reversal_1m,0.2,50,100000000.0,1.5,0.1,310,-0.13549793721576175,-0.9826854633778971,-0.9458731803185199,0.34421327430247217,1.0,False
reversal_1m,0.2,50,100000000.0,2.0,0.1,310,-0.13601700773462078,-0.9829270920740679,-0.9535766472496408,0.3402979812618758,1.0,False
reversal_1m,0.2,50,1000000000.0,0.5,0.025,310,-0.13558219009056116,-0.9827249046282299,-0.9471232698500726,0.3435759684735826,1.0,False
reversal_1m,0.2,50,1000000000.0,1.0,0.025,310,-0.13722251782762207,-0.9834758691991092,-0.9714844099757609,0.33130711280715985,1.0,False
reversal_1m,0.2,50,1000000000.0,1.5,0.025,310,-0.13886000652842345,-0.9841943055486515,-0.9958471703939995,0.31932440725364586,1.0,False
reversal_1m,0.2,50,1000000000.0,2.0,0.025,310,-0.14049466063736837,-0.984881617581136,-1.02021154416569,0.30762814380765646,1.0,False
reversal_1m,0.2,50,1000000000.0,0.5,0.05,310,-0.13558219009056116,-0.9827249046282299,-0.9471232698500726,0.3435759684735826,1.0,False
reversal_1m,0.2,50,1000000000.0,1.0,0.05,310,-0.13722251782762207,-0.9834758691991092,-0.9714844099757609,0.33130711280715985,1.0,False
reversal_1m,0.2,50,1000000000.0,1.5,0.05,310,-0.13886000652842345,-0.9841943055486515,-0.9958471703939995,0.31932440725364586,1.0,False
reversal_1m,0.2,50,1000000000.0,2.0,0.05,310,-0.14049466063736837,-0.984881617581136,-1.02021154416569,0.30762814380765646,1.0,False
reversal_1m,0.2,50,1000000000.0,0.5,0.1,310,-0.13558219009056116,-0.9827249046282299,-0.9471232698500726,0.3435759684735826,1.0,False
reversal_1m,0.2,50,1000000000.0,1.0,0.1,310,-0.13722251782762207,-0.9834758691991092,-0.9714844099757609,0.33130711280715985,1.0,False
reversal_1m,0.2,50,1000000000.0,1.5,0.1,310,-0.13886000652842345,-0.9841943055486515,-0.9958471703939995,0.31932440725364586,1.0,False
reversal_1m,0.2,50,1000000000.0,2.0,0.1,310,-0.14049466063736837,-0.984881617581136,-1.02021154416569,0.30762814380765646,1.0,False
reversal_1m,0.2,50,10000000000.0,0.5,0.025,310,-0.14042444213696725,-0.9839716545784798,-1.129058562812011,0.2588731299295177,0.9635739276672155,False
reversal_1m,0.2,50,10000000000.0,1.0,0.025,310,-0.14507221844952356,-0.9859133947658106,-1.201403530553006,0.22959470727435094,0.9635739276672155,False
reversal_1m,0.2,50,10000000000.0,1.5,0.025,310,-0.1496970227912673,-0.9876206521156197,-1.2737551016160022,0.20275022167366386,0.9635739276672155,False
reversal_1m,0.2,50,10000000000.0,2.0,0.025,310,-0.15429895808599325,-0.9891216522270168,-1.346113172479177,0.17826602113560996,0.9635739276672155,False
reversal_1m,0.2,50,10000000000.0,0.5,0.05,310,-0.1392972414779352,-0.9843895316312858,-1.0038677624335228,0.31544235707920265,0.9991385370081359,False
reversal_1m,0.2,50,10000000000.0,1.0,0.05,310,-0.144439395803742,-0.986431285650706,-1.0807193022664674,0.27982199425632626,0.9991385370081359,False
reversal_1m,0.2,50,10000000000.0,1.5,0.05,310,-0.14955351718670706,-0.98820685777878,-1.1575858031000665,0.24703310558277614,0.9991385370081359,False
reversal_1m,0.2,50,10000000000.0,2.0,0.05,310,-0.15463974391670177,-0.9897508368284472,-1.234467053014643,0.21702891643534694,0.9991385370081359,False
reversal_1m,0.2,50,10000000000.0,0.5,0.1,310,-0.13912546692779804,-0.9843079204160547,-0.9998008544813576,0.31740689223007723,1.0,False
reversal_1m,0.2,50,10000000000.0,1.0,0.1,310,-0.14428357623011512,-0.9863664236320926,-1.0768540742591532,0.28154546315791595,1.0,False
reversal_1m,0.2,50,10000000000.0,1.5,0.1,310,-0.14941348687658484,-0.9881557677176638,-1.1539231966491088,0.24853165808258715,1.0,False
reversal_1m,0.2,50,10000000000.0,2.0,0.1,310,-0.15451533834984377,-0.9897110317097689,-1.231008001728464,0.21831987156817645,1.0,False
reversal_1m,0.30000000000000004,10,100000000.0,0.5,0.025,310,-0.21824910133144604,-0.9983171638689624,-0.9596863854960543,0.3372130773241131,1.0,False
reversal_1m,0.30000000000000004,10,100000000.0,1.0,0.025,310,-0.21959445727934923,-0.998386236853798,-0.9751801738392887,0.3294708948390399,1.0,False
reversal_1m,0.30000000000000004,10,100000000.0,1.5,0.025,310,-0.22093771202346058,-0.9984524849478502,-0.9906739697540586,0.3218448055133596,1.0,False
reversal_1m,0.30000000000000004,10,100000000.0,2.0,0.025,310,-0.22227886851821188,-0.9985160232622189,-1.0061677702203533,0.31433487304942886,1.0,False
reversal_1m,0.30000000000000004,10,100000000.0,0.5,0.05,310,-0.21824910133144604,-0.9983171638689624,-0.9596863854960543,0.3372130773241131,1.0,False
reversal_1m,0.30000000000000004,10,100000000.0,1.0,0.05,310,-0.21959445727934923,-0.998386236853798,-0.9751801738392887,0.3294708948390399,1.0,False
reversal_1m,0.30000000000000004,10,100000000.0,1.5,0.05,310,-0.22093771202346058,-0.9984524849478502,-0.9906739697540586,0.3218448055133596,1.0,False
reversal_1m,0.30000000000000004,10,100000000.0,2.0,0.05,310,-0.22227886851821188,-0.9985160232622189,-1.0061677702203533,0.31433487304942886,1.0,False
reversal_1m,0.30000000000000004,10,100000000.0,0.5,0.1,310,-0.21824910133144604,-0.9983171638689624,-0.9596863854960543,0.3372130773241131,1.0,False
reversal_1m,0.30000000000000004,10,100000000.0,1.0,0.1,310,-0.21959445727934923,-0.998386236853798,-0.9751801738392887,0.3294708948390399,1.0,False
reversal_1m,0.30000000000000004,10,100000000.0,1.5,0.1,310,-0.22093771202346058,-0.9984524849478502,-0.9906739697540586,0.3218448055133596,1.0,False
reversal_1m,0.30000000000000004,10,100000000.0,2.0,0.1,310,-0.22227886851821188,-0.9985160232622189,-1.0061677702203533,0.31433487304942886,1.0,False
reversal_1m,0.30000000000000004,10,1000000000.0,0.5,0.025,310,-0.21785181179800817,-0.9983212211417265,-1.1364083153258024,0.25578571729949084,0.9628616303420584,False
reversal_1m,0.30000000000000004,10,1000000000.0,1.0,0.025,310,-0.22159660558647876,-0.9985060136068127,-1.1819922523271253,0.2372087750552483,0.9628616303420584,False
reversal_1m,0.30000000000000004,10,1000000000.0,1.5,0.025,310,-0.2253250637030958,-0.9986705305541002,-1.2275759007222244,0.21960621308980421,0.9628616303420584,False
reversal_1m,0.30000000000000004,10,1000000000.0,2.0,0.025,310,-0.2290372505331515,-0.9988169894215388,-1.2731592125730204,0.2029615507604121,0.9628616303420584,False
reversal_1m,0.30000000000000004,10,1000000000.0,0.5,0.05,310,-0.22111689907622256,-0.9984611908744356,-1.0337178596263792,0.3012680813274209,0.9969686884516437,False
reversal_1m,0.30000000000000004,10,1000000000.0,1.0,0.05,310,-0.22528995068472413,-0.998649601144462,-1.0826397678405915,0.2789683485129215,0.9969686884516437,False
reversal_1m,0.30000000000000004,10,1000000000.0,1.5,0.05,310,-0.22944267927730821,-0.9988150178630801,-1.1315624070992911,0.25781845237004397,0.9969686884516437,False
reversal_1m,0.30000000000000004,10,1000000000.0,2.0,0.05,310,-0.2335751740784583,-0.9989602379764186,-1.180485690787759,0.23780709829208613,0.9969686884516437,False
reversal_1m,0.30000000000000004,10,1000000000.0,0.5,0.1,310,-0.22115549430540715,-0.9984629770216669,-0.9931882672109993,0.3206182149822374,1.0,False
reversal_1m,0.30000000000000004,10,1000000000.0,1.0,0.1,310,-0.22538836965872522,-0.9986538577466278,-1.0421839672917572,0.29732639478427725,1.0,False
reversal_1m,0.30000000000000004,10,1000000000.0,1.5,0.1,310,-0.22960036044653442,-0.9988211114666448,-1.0911796124826278,0.2751938569925496,1.0,False
reversal_1m,0.30000000000000004,10,1000000000.0,2.0,0.1,310,-0.23379155946486407,-0.9989676530245051,-1.140175107276325,0.25421335598744443,1.0,False
