date,rule,monthly_return,observed_holdings
2011-02-28,stop_30,0.009492859501880847,49
2011-03-31,hold,-0.04004651574732242,42
2011-03-31,stop_10,-0.04814307794580695,42
2011-03-31,stop_20,-0.04637154393454625,42
2011-03-31,stop_30,-0.049270901739807825,42
2011-04-29,hold,0.012199771981035288,49
2011-04-29,stop_10,-0.00389456625213143,49
2011-04-29,stop_20,0.011804705239516036,49
2011-04-29,stop_30,0.011994444109566191,49
2011-05-31,hold,0.07193070818303111,48
2011-05-31,stop_10,0.053933548596112796,48
2011-05-31,stop_20,0.06462612152011261,48
2011-05-31,stop_30,0.07193070818303111,48
2011-06-30,hold,0.05227441067970041,50
2011-06-30,stop_10,0.05766536433780628,50
2011-06-30,stop_20,0.047615215690994576,50
2011-06-30,stop_30,0.04897740795490476,50
2011-07-29,hold,-0.0770949337081925,50
2011-07-29,stop_10,-0.13080620501526768,50
2011-07-29,stop_20,-0.12330401753643715,50
2011-07-29,stop_30,-0.100734248919075,50
2011-08-31,hold,-0.14350336184996637,49
2011-08-31,stop_10,-0.11797808216156735,49
2011-08-31,stop_20,-0.1382307292229824,49
2011-08-31,stop_30,-0.14021757775611318,49
2011-09-30,hold,0.19323501048408145,47
2011-09-30,stop_10,0.15708864136783254,47
2011-09-30,stop_20,0.19229470561946552,47
2011-09-30,stop_30,0.18706650041135248,47
2011-10-31,hold,-0.020290941791530664,49
2011-10-31,stop_10,-0.023858626452759393,49
2011-10-31,stop_20,-0.014836757334811077,49
2011-10-31,stop_30,-0.013210961274555545,49
2011-11-30,hold,0.07261566948656532,50
2011-11-30,stop_10,0.05403431871693818,50
2011-11-30,stop_20,0.07198052917518243,50
2011-11-30,stop_30,0.07261566948656532,50
2011-12-29,hold,0.1763860775332801,50
2011-12-29,stop_10,0.15919719422232206,50
2011-12-29,stop_20,0.17555117894179306,50
2011-12-29,stop_30,0.177699510369101,50
2012-01-31,hold,0.2221337870577313,47
2012-01-31,stop_10,0.22635429439961524,47
2012-01-31,stop_20,0.2286972218275836,47
2012-01-31,stop_30,0.22491226014909546,47
2012-02-29,hold,0.0027396615497968678,50
2012-02-29,stop_10,0.012318836539781495,50
2012-02-29,stop_20,0.021903056900541173,50
2012-02-29,stop_30,0.008157844270201362,50
2012-03-30,hold,0.05663655090568347,48
2012-03-30,stop_10,0.05143462582858705,48
2012-03-30,stop_20,0.045779775483579255,48
2012-03-30,stop_30,0.05230315645024156,48
2012-04-30,hold,0.03748824309810099,46
2012-04-30,stop_10,0.02823944380178869,46
2012-04-30,stop_20,0.029627800200463555,46
2012-04-30,stop_30,0.04268795774929851,46
2012-05-31,hold,0.1641053035998835,47
2012-05-31,stop_10,0.12331145993587335,47
2012-05-31,stop_20,0.14139848339399258,47
2012-05-31,stop_30,0.1517971252615765,47
2012-06-29,hold,-0.00212921383116208,50
2012-06-29,stop_10,0.007744993871761994,50
2012-06-29,stop_20,0.0029724543168663043,50
2012-06-29,stop_30,-0.0012078518908947911,50
2012-07-31,hold,0.015029561997318587,48
2012-07-31,stop_10,0.025774202002835034,48
2012-07-31,stop_20,0.01440572905986457,48
2012-07-31,stop_30,0.014625259954367385,48
2012-08-31,hold,-0.019984774425201652,45
