date,bucket,rank_ic_12m,n
2020-06-30,3,-0.43157031916250416,60
2020-07-31,1,-0.24754098360655735,61
2020-07-31,2,-0.07313142539594333,60
2020-07-31,3,-0.38038343984440126,60
2020-08-31,1,-0.31544156530936013,61
2020-08-31,2,-0.03531585601696773,60
2020-08-31,3,-0.20450125034731872,60
2020-11-30,1,0.08313061872025382,61
2020-11-30,2,0.0012781328146707423,60
2020-11-30,3,-0.10703331570597566,61
2021-03-31,1,-0.010198685502757423,62
2021-03-31,2,0.06874669487043891,61
2021-03-31,3,0.07905974431870612,61
2021-04-30,1,-0.25421167938354616,62
2021-04-30,2,0.07435219460602856,61
2021-04-30,3,0.061922389262421,62
2021-05-31,1,-0.17060764020044825,62
2021-05-31,2,0.23094356727355142,62
2021-05-31,3,0.03507844174158294,62
2021-06-30,1,-0.12274385560675884,63
2021-06-30,2,0.06977915439047117,62
2021-06-30,3,0.059152375915993045,62
2021-08-31,1,0.12749768983360787,63
2021-08-31,2,0.21422275943693184,62
2021-08-31,3,0.06254800307219661,63
2021-09-30,1,-0.12684142932688677,62
2021-09-30,2,0.1438392384981491,61
2021-09-30,3,-0.04550376469995719,62
2021-11-30,1,-0.15277630883130616,61
2021-11-30,2,-0.12442345095859964,60
2021-11-30,3,-0.17852987837123213,61
2022-02-28,1,-0.24434035909445748,62
2022-02-28,2,-0.05129561078794288,61
2022-02-28,3,-0.11420009569137014,62
2022-03-31,1,-0.16131137033303114,64
2022-03-31,2,-0.06403609831029186,63
2022-03-31,3,-0.12417582417582416,64
2022-05-31,1,-0.062281468531468535,65
2022-05-31,2,-0.19542124542124542,64
2022-05-31,3,0.22757867132867132,65
2022-06-30,1,-0.10267857142857142,63
2022-06-30,2,-0.26968125960061445,63
2022-06-30,3,0.14276113671274965,63
2022-08-31,1,-0.019643081996273164,64
2022-08-31,2,-0.2218406593406593,64
2022-08-31,3,0.17664835164835163,64
2022-09-30,1,0.006043956043956042,64
2022-09-30,2,-0.48919930875576045,63
2022-09-30,3,0.11533882783882782,64
2022-10-31,1,-0.12937062937062935,65
2022-10-31,2,-0.34694055944055946,65
2022-10-31,3,-0.08745629370629371,65
2022-11-30,1,0.019908434315374583,65
2022-11-30,2,0.056227106227106215,64
2022-11-30,3,-0.21608391608391606,65
2023-01-31,1,0.033122119815668205,63
2023-01-31,2,-0.015985023041474655,63
2023-01-31,3,-0.005088325652841783,63
2023-02-28,1,-0.04977106227106227,64
2023-02-28,2,-0.07656490015360984,63
2023-02-28,3,0.19686059907834103,63
2023-03-31,1,0.0953821044546851,63
2023-03-31,2,0.09521291329858225,62
2023-03-31,3,0.15076427186421898,62
2023-05-31,1,0.08992673992673991,64
2023-05-31,2,0.32884615384615384,64
2023-05-31,3,0.11900183150183148,64
2023-06-30,1,-0.08798963133640553,63
2023-06-30,2,0.20324500768049153,63
2023-06-30,3,0.13719278033794163,63
