date,path,return,holdings,banned_share
2006-12-28,expand,-0.06076046676000431,20,0.4124111182934712
2007-01-31,contract,0.047273128900338204,27,0.24919302775984506
2007-01-31,expand,0.043658044661781366,21,0.4144609425435765
2007-02-28,contract,0.0813768108938583,29,0.2482360487491982
2007-02-28,expand,0.06641140530011225,23,0.4137267479153303
2007-03-30,contract,0.07184915853743111,27,0.24808184143222506
2007-03-30,expand,0.06549859106150008,25,0.41304347826086957
2007-04-30,contract,0.08553334241983329,27,0.24792332268370607
2007-04-30,expand,0.08978609603554445,23,0.412779552715655
2007-05-31,contract,0.03244034615091907,30,0.2471264367816092
2007-05-31,expand,0.02797371240397119,27,0.4112388250319285
2007-06-29,contract,0.06469783477564381,29,0.24650571791613723
2007-06-29,expand,0.05284182059000783,25,0.4104193138500635
2007-07-31,contract,-0.006248685796352053,30,0.24573594440934934
2007-07-31,expand,0.0037894022465494617,26,0.40934933670246365
2007-08-31,contract,0.01747068967025342,29,0.24560301507537688
2007-08-31,expand,0.00696088151764566,27,0.40954773869346733
2007-09-28,contract,-0.043304404188421866,28,0.2453066332916145
2007-09-28,expand,-0.047335171345764024,25,0.40863579474342926
2007-10-31,contract,-0.03602560102598255,28,0.24625
2007-10-31,expand,-0.04844893111246565,23,0.41
2007-11-30,contract,0.040253672670410655,30,0.24797001873828858
2007-11-30,expand,0.04948357706536604,22,0.4134915677701437
2007-12-28,contract,-0.08082898099937731,30,0.2495321272613849
2007-12-28,expand,-0.05299712962835863,23,0.41547099189020587
2008-01-31,contract,-0.015406832604991115,26,0.24906832298136647
2008-01-31,expand,-0.033202089148154736,21,0.41490683229813663
2008-02-29,contract,-0.016353708553738903,29,0.2496902106567534
2008-02-29,expand,-0.01839113185815315,22,0.4157372986369269
2008-03-31,contract,0.03636178168096592,29,0.24953560371517028
2008-03-31,expand,0.04761379020915677,24,0.41609907120743034
2008-04-30,contract,0.07453902031667943,29,0.2501547987616099
2008-04-30,expand,0.06458818796630117,24,0.41609907120743034
2008-05-30,contract,-0.052451371806960204,28,0.24784217016029594
2008-05-30,expand,-0.04831349344080091,23,0.4130702836004932
2008-06-30,contract,-0.06437739494137103,29,0.24618204031765425
2008-06-30,expand,-0.08527730894394668,20,0.4098961514966402
2008-07-31,contract,-0.078067658715333,26,0.24635036496350365
2008-07-31,expand,-0.07399820085893762,18,0.4099756690997567
2008-08-29,contract,-0.04517137864388859,29,0.24666666666666667
2008-08-29,expand,-0.05632654388307028,19,0.4109090909090909
2008-09-30,contract,-0.28057752992112506,25,0.2459214501510574
2008-09-30,expand,-0.29667723571437143,17,0.4096676737160121
2008-10-31,contract,-0.049191157120806246,21,0.24607961399276237
2008-10-31,expand,-0.04254930639678186,17,0.4101326899879373
2008-11-28,contract,0.032808143003486105,27,0.24653405666063893
2008-11-28,expand,0.0423655945507434,23,0.4110910186859554
2008-12-30,contract,-0.014559354281524153,26,0.24639423076923078
2008-12-30,expand,-0.019469327579120534,21,0.4098557692307692
2009-01-30,contract,-0.026442172716334835,29,0.24565608148591972
2009-01-30,expand,-0.01088008717886545,20,0.4092270820850809
2009-02-27,contract,0.07197265643964826,28,0.24493444576877235
2009-02-27,expand,0.05848656967590617,19,0.40762812872467225
